		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3662.093750	M = 1875000	N = 8	m = 9	n = 15000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 3591 3612 3637 3683 3674 3654 3743 3556  7.524171 0.481272 SUCCESS   0
000000011 3573 3673 3711 3648 3727 3579 3656 3598  7.318039 0.502739 SUCCESS   1
000000101 3540 3739 3709 3765 3596 3762 3687 3623 14.153201 0.077859 SUCCESS   2
000000111 3630 3660 3583 3697 3704 3590 3560 3569  9.758997 0.282350 SUCCESS   3
000001001 3507 3644 3607 3630 3619 3686 3842 3686 18.023682 0.021050 SUCCESS   4
000001011 3668 3655 3688 3723 3630 3690 3691 3532  6.788455 0.559619 SUCCESS   5
000001101 3631 3567 3738 3678 3765 3626 3609 3694  8.968699 0.344943 SUCCESS   6
000001111 3706 3658 3566 3714 3781 3652 3591 3508 16.074655 0.041324 SUCCESS   7
000010001 3665 3703 3649 3721 3623 3677 3692 3649  2.298961 0.970448 SUCCESS   8
000010011 3559 3653 3675 3610 3616 3755 3759 3716 10.349977 0.241316 SUCCESS   9
000010101 3696 3654 3606 3643 3584 3731 3652 3828 12.201526 0.142436 SUCCESS  10
000010111 3690 3628 3696 3709 3554 3745 3765 3583 11.493860 0.175255 SUCCESS  11
000011001 3670 3646 3694 3636 3692 3716 3647 3636  1.900679 0.983907 SUCCESS  12
000011011 3656 3626 3701 3748 3718 3675 3663 3639  3.971087 0.859723 SUCCESS  13
000011101 3691 3719 3606 3552 3708 3690 3799 3792 16.338334 0.037786 SUCCESS  14
000011111 3670 3599 3504 3626 3790 3641 3644 3661 13.408571 0.098544 SUCCESS  15
000100011 3705 3756 3611 3694 3687 3625 3572 3669  6.905422 0.546871 SUCCESS  16
000100101 3584 3650 3689 3671 3628 3671 3761 3613  5.785176 0.671281 SUCCESS  17
000100111 3726 3727 3610 3701 3544 3720 3739 3733 11.514090 0.174236 SUCCESS  18
000101001 3633 3593 3777 3584 3563 3582 3610 3636 12.583391 0.127010 SUCCESS  19
000101011 3748 3632 3674 3615 3653 3727 3707 3756  7.280174 0.506728 SUCCESS  20
000101101 3626 3654 3810 3637 3615 3582 3610 3700 10.353772 0.241068 SUCCESS  21
000101111 3747 3642 3610 3686 3580 3771 3709 3562 11.782748 0.161164 SUCCESS  22
000110011 3618 3642 3633 3688 3645 3707 3631 3560  4.960949 0.761742 SUCCESS  23
000110101 3596 3639 3642 3761 3699 3612 3613 3745  7.977088 0.435711 SUCCESS  24
000110111 3709 3637 3673 3609 3626 3611 3684 3597  4.066694 0.851056 SUCCESS  25
000111001 3740 3616 3660 3741 3580 3730 3625 3730  8.971135 0.344737 SUCCESS  26
000111011 3693 3678 3652 3610 3688 3652 3721 3729  3.599266 0.891351 SUCCESS  27
000111101 3583 3675 3616 3624 3809 3668 3579 3740 12.593771 0.126612 SUCCESS  28
000111111 3633 3672 3604 3677 3737 3635 3645 3690  3.377370 0.908496 SUCCESS  29
001000011 3697 3583 3665 3511 3698 3642 3754 3630 11.716321 0.164317 SUCCESS  30
001000101 3639 3620 3700 3607 3576 3615 3624 3573  7.285999 0.506113 SUCCESS  31
001000111 3677 3721 3693 3722 3659 3483 3649 3644 11.529131 0.173481 SUCCESS  32
001001011 3610 3729 3772 3696 3728 3743 3698 3653  9.230472 0.323228 SUCCESS  33
001001101 3746 3560 3686 3626 3731 3716 3660 3625  8.013506 0.432152 SUCCESS  34
001001111 3657 3652 3639 3719 3558 3706 3705 3754  7.612011 0.472257 SUCCESS  35
001010011 3561 3575 3745 3631 3632 3653 3657 3665  7.532308 0.480434 SUCCESS  36
001010101 3601 3687 3610 3614 3600 3605 3695 3658  4.969458 0.760835 SUCCESS  37
001010111 3728 3776 3700 3606 3704 3713 3602 3617  9.008276 0.341598 SUCCESS  38
001011011 3620 3642 3675 3668 3687 3658 3638 3689  1.219775 0.996443 SUCCESS  39
001011101 3687 3739 3839 3609 3666 3688 3758 3581 16.130490 0.040550 SUCCESS  40
001011111 3694 3677 3640 3735 3634 3750 3644 3598  5.647714 0.686625 SUCCESS  41
001100101 3622 3638 3703 3608 3671 3770 3661 3678  5.300007 0.725082 SUCCESS  42
001100111 3635 3680 3689 3694 3645 3709 3728 3611  3.458043 0.902421 SUCCESS  43
001101011 3695 3686 3590 3668 3685 3580 3650 3727  5.228019 0.732950 SUCCESS  44
001101101 3678 3720 3676 3683 3693 3696 3689 3488 10.556091 0.228142 SUCCESS  45
001101111 3710 3617 3624 3702 3620 3683 3595 3619  4.502083 0.809225 SUCCESS  46
001110101 3579 3710 3645 3647 3786 3517 3745 3796 20.033488 0.010210 SUCCESS  47
001110111 3720 3722 3688 3664 3743 3633 3701 3654  4.685230 0.790628 SUCCESS  48
001111011 3516 3642 3645 3697 3764 3637 3700 3783 14.214756 0.076337 SUCCESS  49
001111101 3599 3716 3623 3682 3685 3672 3726 3581  5.675535 0.683524 SUCCESS  50
001111111 3637 3639 3647 3684 3708 3733 3666 3696  2.872659 0.942093 SUCCESS  51
010000011 3640 3594 3558 3644 3615 3719 3682 3716  7.074130 0.528656 SUCCESS  52
010000111 3742 3584 3668 3547 3726 3725 3737 3746 13.121677 0.107731 SUCCESS  53
010001011 3724 3657 3720 3685 3654 3575 3653 3475 14.256046 0.075331 SUCCESS  54
010001111 3608 3686 3700 3658 3693 3615 3580 3630  4.489090 0.810524 SUCCESS  55
010010011 3708 3606 3630 3612 3634 3719 3572 3670  5.931412 0.654915 SUCCESS  56
010010111 3677 3697 3840 3612 3635 3572 3763 3635 15.638331 0.047859 SUCCESS  57
010011011 3750 3652 3704 3674 3645 3635 3705 3604  4.510468 0.808385 SUCCESS  58
010011111 3586 3704 3638 3751 3580 3706 3650 3666  7.021542 0.534310 SUCCESS  59
010100011 3520 3651 3723 3697 3685 3772 3632 3640 11.083009 0.197040 SUCCESS  60
010100111 3547 3659 3736 3670 3641 3686 3619 3706  6.660631 0.573651 SUCCESS  61
010101011 3609 3695 3684 3678 3655 3624 3688 3672  1.950389 0.982495 SUCCESS  62
010101111 3682 3814 3744 3692 3663 3595 3580 3655 11.966302 0.152714 SUCCESS  63
010110011 3764 3700 3624 3538 3754 3653 3697 3715 11.642126 0.167900 SUCCESS  64
010110111 3588 3704 3798 3589 3675 3626 3607 3722 11.058454 0.198409 SUCCESS  65
010111011 3720 3683 3702 3657 3662 3659 3668 3705  2.060172 0.979111 SUCCESS  66
010111111 3682 3767 3614 3698 3657 3745 3584 3685  8.057179 0.427905 SUCCESS  67
011000111 3682 3629 3691 3638 3570 3627 3608 3680  4.481588 0.811272 SUCCESS  68
011001111 3598 3636 3564 3647 3709 3574 3775 3666 10.552949 0.228338 SUCCESS  69
011010111 3741 3620 3600 3694 3653 3512 3616 3799 15.915903 0.043600 SUCCESS  70
