		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    2    1    0    3    2    2    2  3.878012 0.867958 SUCCESS   0
000000011    1    7    2    2    2    0    5    5 18.064239 0.020750 SUCCESS   1
000000101    2    2    2    0    0    3    0    2  7.926019 0.440730 SUCCESS   2
000000111    1    4    1    4    4    1    3    2  5.950009 0.652832 SUCCESS   3
000001001    2    0    1    0    3    3    0    6 14.108910 0.078971 SUCCESS   4
000001011    2    1    1    0    0    3    1    1  8.647577 0.372892 SUCCESS   5
000001101    3    4    2    2    2    4    2    2  2.623560 0.955720 SUCCESS   6
000001111    1    5    3    3    2    1    3    2  5.102675 0.746548 SUCCESS   7
000010001    1    2    2    2    3    4    1    4  4.192453 0.839356 SUCCESS   8
000010011    2    1    2    1    2    3    1    4  4.003788 0.856782 SUCCESS   9
000010101    5    1    2    3    3    1    1    2  5.824233 0.666913 SUCCESS  10
000010111    3    3    3    4    3    4    3    1  3.659559 0.886460 SUCCESS  11
000011001    2    4    2    4    2    2    6    1  8.680676 0.369946 SUCCESS  12
000011011    2    1    2    1    1    6    1    2  9.087793 0.334944 SUCCESS  13
000011101    0    4    3    4    2    1    4    2  6.797343 0.558648 SUCCESS  14
000011111    1    5    2    3    6    1    4    2 11.285566 0.186038 SUCCESS  15
000100011    2    2    3    5    1    6    3    4 10.564008 0.227647 SUCCESS  16
000100101    3    3    0    3    5    2    0    3  8.429123 0.392713 SUCCESS  17
000100111    2    3    3    3    3    2    3    3  0.991780 0.998300 SUCCESS  18
000101001    3    3    2    2    1    2    2    3  1.587562 0.991157 SUCCESS  19
000101011    3    0    4    2    4    2    4    1  6.797343 0.558648 SUCCESS  20
000101101    3    2    0    1    1    2    3    4  5.698457 0.680967 SUCCESS  21
000101111    3    2    3    4    2    4    3    2  2.749337 0.949090 SUCCESS  22
000110011    1    4    1    1    3    1    3    0  7.267349 0.508082 SUCCESS  23
000110101    4    2    3    3    0    1    3    0  7.393125 0.494871 SUCCESS  24
000110111    3    0    3    3    2    5    2    2  5.950009 0.652832 SUCCESS  25
000111001    1    3    3    3    4    4    5    3  6.327337 0.610616 SUCCESS  26
000111011    0    4    3    6    3    4    2    1 11.222678 0.189398 SUCCESS  27
000111101    1    2    3    4    3    1    1    3  4.129564 0.845248 SUCCESS  28
000111111    2    5    4    3    7    2    5    0 18.315792 0.018980 SUCCESS  29
001000011    0    2    1    1    3    5    3    2  7.456013 0.488323 SUCCESS  30
001000101    1    1    0    1    2    1    3    2  6.231350 0.621335 SUCCESS  31
001000111    2    1    4    3    0    2    3    4  5.887121 0.659874 SUCCESS  32
001001011    4    2    1    4    3    3    3    2  3.533783 0.896552 SUCCESS  33
001001101    2    1    2    2    2    1    5    2  4.914011 0.766726 SUCCESS  34
001001111    3    2    3    3    1    1    2    3  2.434896 0.964698 SUCCESS  35
001010011    3    4    2    2    1    3    4    2  3.470895 0.901437 SUCCESS  36
001010101    2    6    1    1    2    1    3    5 11.096902 0.196269 SUCCESS  37
001010111    4    0    3    2    5    2    5    3  9.590898 0.294921 SUCCESS  38
001011011    4    4    0    4    6    3    3    4 12.384453 0.134857 SUCCESS  39
001011101    2    3    2    4    3    3    1    1  3.345118 0.910872 SUCCESS  40
001011111    5    2    2    2    3    3    0    3  5.950009 0.652832 SUCCESS  41
001100101    1    3    3    2    2    2    6    5  9.590898 0.294921 SUCCESS  42
001100111    2    4    4    1    2    2    3    0  5.824233 0.666913 SUCCESS  43
001101011    6    2    2    4    2    1    3    0 10.186680 0.252167 SUCCESS  44
001101101    7    3    1    2    2    5    1    2 13.764680 0.088109 SUCCESS  45
001101111    2    0    2    0    0    1    2    4  9.620687 0.292664 SUCCESS  46
001110101    0    5    2    1    1    2    4    4  9.276457 0.319514 SUCCESS  47
001110111    1    5    4    4    3    2    2    1  6.923119 0.544950 SUCCESS  48
001111011    2    3    2    3    4    2    1    4  3.470895 0.901437 SUCCESS  49
001111101    3    4    4    0    1    0    4    5 11.944236 0.153709 SUCCESS  50
001111111    3    2    6    3    6    4    4    0 15.773789 0.045735 SUCCESS  51
010000011    2    6    7    2    2    5    1    2 18.252903 0.019408 SUCCESS  52
010000111    0    3    0    3    4    4    2    3  7.581789 0.475349 SUCCESS  53
010001011    2    2    1    0    1    1    2    4  6.357126 0.607295 SUCCESS  54
010001111    3    2    3    1    4    1    2    2  3.282230 0.915418 SUCCESS  55
010010011    2    2    1    1    2    1    3    2  3.030678 0.932418 SUCCESS  56
010010111    5    3    2    3    2    3    2    1  4.318229 0.827331 SUCCESS  57
010011011    4    2    0    1    2    2    2    2  4.788234 0.779952 SUCCESS  58
010011111    2    1    3    1    0    2    3    4  5.698457 0.680967 SUCCESS  59
010100011    2    2    2    1    2    2    4    5  5.102675 0.746548 SUCCESS  60
010100111    3    3    0    2    2    0    4    1  7.330237 0.501457 SUCCESS  61
010101011    3    4    1    1    1    2    5    4  7.707565 0.462545 SUCCESS  62
010101111    4    1    2    4    4    2    6    4 10.626896 0.223749 SUCCESS  63
010110011    2    1    5    0    1    4    3    1  9.150681 0.329745 SUCCESS  64
010110111    1    2    3    4    3    1    2    3  3.345118 0.910872 SUCCESS  65
010111011    1    1    1    3    2    3    1    1  4.662458 0.792968 SUCCESS  66
010111111    5    3    0    3    3    3    3    4  7.048895 0.531367 SUCCESS  67
011000111    3    1    2    2    2    3    5    1  5.039787 0.753315 SUCCESS  68
011001111    3    4    2    0    4    3    2    0  7.518901 0.481816 SUCCESS  69
011010111    7    2    2    3    3    2    3    2  9.590898 0.294921 SUCCESS  70
011011111    3    0    1    2    1    3    0    3  7.204461 0.514742 SUCCESS  71
011101111    1    3    2    5    2    2    0    1  7.393125 0.494871 SUCCESS  72
011111111    6    2    4    5    5    3    3    1 13.294675 0.102105 SUCCESS  73
100000000    2    2    1    0    3    2    2    2  3.878012 0.867958 SUCCESS  74
100010000    2    1    1    2    2    3    1    2  3.030678 0.932418 SUCCESS  75
100100000    2    6    3    0    3    1    0    3 11.755572 0.162447 SUCCESS  76
100101000    2    2    6    3    1    3    2    5  9.590898 0.294921 SUCCESS  77
100110000    1    1    2    0    0    1    2    1  8.584688 0.378532 SUCCESS  78
100111000    1    1    3    3    2    1    3    2  3.156454 0.924159 SUCCESS  79
101000000    1    1    2    2    1    4    4    2  4.914011 0.766726 SUCCESS  80
101000100    2    5    1    5    2    3    3    0  9.402234 0.309508 SUCCESS  81
101001000    4    5    2    0    0    3    1    4 10.971126 0.203341 SUCCESS  82
101001100    0    4    2    2    1    1    2    3  5.635568 0.687978 SUCCESS  83
101010000    0    3    0    8    2    4    2    3 19.633131 0.011817 SUCCESS  84
101010100    0    5    2    2    3    3    4    2  6.860231 0.551785 SUCCESS  85
101011000    1    2    1    4    6    1    3    2  9.339345 0.314483 SUCCESS  86
101011100    3    3    2    0    3    3    3    2  3.345118 0.910872 SUCCESS  87
101100000    2    3    3    0    4    2    1    3  4.976899 0.760042 SUCCESS  88
101100100    0    2    2    2    3    3    1    6  9.276457 0.319514 SUCCESS  89
101101000    5    5    3    3    3    3    2    1  7.111783 0.524622 SUCCESS  90
101101100    3    1    0    3    8    4    1    2 18.785797 0.016048 SUCCESS  91
101110000    4    4    2    0    2    3    0    1  8.240459 0.410341 SUCCESS  92
101110100    1    0    0    3    2    0    0    2 11.126691 0.194624 SUCCESS  93
101111000    3    2    2    3    2    3    7    0 12.007124 0.150886 SUCCESS  94
101111100    4    0    4    2    2    1    2    3  5.824233 0.666913 SUCCESS  95
110000000    0    5    2    2    3    1    3    5  9.402234 0.309508 SUCCESS  96
110000010    3    0    1    0    1    4    1    4  9.809351 0.278663 SUCCESS  97
110000100    2    2    2    3    3    2    1    3  1.587562 0.991157 SUCCESS  98
110001000    1    0    2    3    2    3    2    2  3.940900 0.862416 SUCCESS  99
110001010    4    3    1    4    2    3    3    4  4.506893 0.808743 SUCCESS 100
110010000    1    1    2    1    3    3    2    2  3.093566 0.928349 SUCCESS 101
110010010    0    2    3    2    3    2    3    3  3.282230 0.915418 SUCCESS 102
110010100    3    3    6    2    0    5    4    4 13.168899 0.106169 SUCCESS 103
110011000    1    2    2    0    2    3    3    0  6.357126 0.607295 SUCCESS 104
110011010    4    5    0    3    1    2    1    2  8.366235 0.398537 SUCCESS 105
110100000    2    2    5    2    2    3    2    3  3.470895 0.901437 SUCCESS 106
110100010    3    3    2    1    1    2    4    1  4.066676 0.851058 SUCCESS 107
110100100    4    5    3    1    2    1    4    3  6.986007 0.538143 SUCCESS 108
110101000    0    5    0    7    1    4    2    1 19.507355 0.012370 SUCCESS 109
110101010    1    3    2    2    2    4    6    1  8.554899 0.381222 SUCCESS 110
110101100    0    4    5    4    4    2    2    3  8.743564 0.364388 SUCCESS 111
110110000    5    0    3    1    7    3    0    6 23.211132 0.003103 FAILURE 112
110110010    2    1    2    4    3    4    2    4  4.381117 0.821206 SUCCESS 113
110110100    7    4    3    4    3    4    2    4 13.420451 0.098179 SUCCESS 114
110111000    3    3    5    3    1    4    1    1  6.860231 0.551785 SUCCESS 115
110111010    1    1    0    5    2    3    2    1  8.177571 0.416320 SUCCESS 116
110111100    0    1    4    2    4    1    4    1  8.303347 0.404413 SUCCESS 117
111000000    2    2    2    2    2    2    4    2  1.587562 0.991157 SUCCESS 118
111000010    2    2    2    1    1    2    0    0  7.015796 0.534929 SUCCESS 119
111000100    5    1    2    4    3    2    3    1  6.012897 0.645787 SUCCESS 120
111000110    1    1    4    2    3    4    3    4  5.228451 0.732903 SUCCESS 121
111001000    2    1    1    0    1    2    6    0 13.135800 0.107262 SUCCESS 122
111001010    4    4    3    2    1    2    4    3  4.444005 0.815009 SUCCESS 123
111001100    3    2    4    0    1    1    4    2  6.608679 0.579380 SUCCESS 124
111010000    2    4    2    2    1    3    2    3  2.497784 0.961834 SUCCESS 125
111010010    2    7    2    1    3    0    2    1 13.450240 0.097269 SUCCESS 126
111010100    1    4    1    4    2    3    2    2  4.192453 0.839356 SUCCESS 127
111010110    0    1    4    4    4    2    2    5  9.465122 0.304589 SUCCESS 128
111011000    4    1    4    3    5    2    1    4  7.896229 0.443672 SUCCESS 129
111011010    1    3    4    5    4    4    3    0  9.590898 0.294921 SUCCESS 130
111011100    3    4    5    3    2    1    2    5  7.959118 0.437474 SUCCESS 131
111100000    4    1    0    3    1    4    4    1  8.366235 0.398537 SUCCESS 132
111100010    7    1    2    3    1    2    3    2 11.096902 0.196269 SUCCESS 133
111100100    2    1    3    1    1    1    4    1  5.572680 0.694975 SUCCESS 134
111100110    6    2    3    1    2    1    2    2  7.581789 0.475349 SUCCESS 135
111101000    4    6    2    2    1    1    2    2  8.492011 0.386941 SUCCESS 136
111101010    1    2    2    7    5    2    4    1 14.674903 0.065784 SUCCESS 137
111101100    3    3    5    3    3    3    3    2  3.722447 0.881257 SUCCESS 138
111101110    3    2    2    5    3    2    1    5  6.986007 0.538143 SUCCESS 139
111110000    2    3    2    4    3    4    3    0  5.165563 0.739743 SUCCESS 140
111110010    4    1    1    2    1    1    4    3  5.761345 0.673945 SUCCESS 141
111110100    3    7    2    3    1    1    2    4 12.070012 0.148107 SUCCESS 142
111110110    6    3    6    2    4    3    4    2 13.357563 0.100125 SUCCESS 143
111111000    2    3    2    5    4    3    2    1  5.228451 0.732903 SUCCESS 144
111111010    1    7    2    3    5    1    4    1 15.522237 0.049752 SUCCESS 145
111111100    4    3    3    4    3    4    4    2  4.695557 0.789564 SUCCESS 146
111111110    6    2    4    5    5    3    3    1 13.294675 0.102105 SUCCESS 147

