		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2555 2363 2455 2433 2404 2417 2420 2542 13.506745 0.095563 SUCCESS   0
000000011 2511 2310 2422 2445 2387 2445 2456 2481 11.545643 0.172656 SUCCESS   1
000000101 2447 2529 2430 2411 2409 2493 2367 2437  7.637076 0.469700 SUCCESS   2
000000111 2414 2437 2475 2416 2454 2427 2511 2492  4.370828 0.822213 SUCCESS   3
000001001 2517 2384 2473 2498 2490 2435 2404 2434  7.232263 0.511793 SUCCESS   4
000001011 2457 2512 2490 2445 2426 2511 2413 2378  7.419245 0.492147 SUCCESS   5
000001101 2514 2382 2428 2438 2508 2424 2397 2416  6.924680 0.544781 SUCCESS   6
000001111 2468 2476 2450 2468 2465 2393 2517 2528  7.967087 0.436692 SUCCESS   7
000010001 2413 2542 2470 2422 2441 2426 2528 2436  8.426752 0.392931 SUCCESS   8
000010011 2448 2442 2454 2466 2467 2497 2468 2520  4.848619 0.773627 SUCCESS   9
000010101 2479 2391 2401 2469 2428 2373 2423 2458  5.006912 0.756837 SUCCESS  10
000010111 2483 2469 2457 2457 2444 2489 2318 2403  9.300963 0.317547 SUCCESS  11
000011001 2389 2398 2399 2550 2440 2435 2416 2438  8.015543 0.431953 SUCCESS  12
000011011 2484 2409 2492 2428 2459 2479 2443 2439  3.108949 0.927335 SUCCESS  13
000011101 2384 2444 2436 2295 2516 2567 2487 2494 21.586685 0.005742 FAILURE  14
000011111 2444 2530 2484 2482 2475 2347 2472 2411  9.838742 0.276527 SUCCESS  15
000100011 2440 2500 2410 2333 2377 2451 2510 2445 10.646609 0.222538 SUCCESS  16
000100101 2472 2356 2449 2446 2394 2445 2432 2447  4.527387 0.806687 SUCCESS  17
000100111 2447 2458 2411 2449 2478 2529 2427 2431  4.499147 0.809518 SUCCESS  18
000101001 2413 2472 2423 2428 2482 2404 2452 2532  5.774702 0.672452 SUCCESS  19
000101011 2418 2414 2362 2470 2505 2366 2390 2496 10.071335 0.260055 SUCCESS  20
000101101 2481 2463 2469 2460 2417 2566 2510 2430 10.212006 0.250460 SUCCESS  21
000101111 2459 2434 2471 2424 2512 2414 2385 2428  4.507395 0.808693 SUCCESS  22
000110011 2501 2353 2421 2394 2405 2371 2447 2411  9.008010 0.341621 SUCCESS  23
000110101 2512 2492 2408 2424 2431 2353 2429 2423  7.362050 0.498121 SUCCESS  24
000110111 2449 2423 2381 2430 2569 2393 2434 2454  9.749560 0.283045 SUCCESS  25
000111001 2343 2450 2410 2464 2391 2451 2543 2442 10.256041 0.247513 SUCCESS  26
000111011 2481 2424 2402 2314 2416 2605 2473 2480 20.994346 0.007162 FAILURE  27
000111101 2459 2401 2383 2461 2378 2442 2414 2431  4.496141 0.809819 SUCCESS  28
000111111 2456 2517 2513 2416 2484 2372 2428 2424  7.971363 0.436272 SUCCESS  29
001000011 2436 2395 2445 2384 2485 2445 2379 2403  5.409845 0.713007 SUCCESS  30
001000101 2391 2547 2494 2413 2514 2404 2448 2534 13.793197 0.087317 SUCCESS  31
001000111 2331 2453 2443 2411 2350 2470 2443 2451  9.537898 0.298967 SUCCESS  32
001001011 2444 2359 2477 2432 2454 2534 2412 2470  7.867088 0.446560 SUCCESS  33
001001101 2480 2350 2411 2445 2439 2462 2486 2503  7.200527 0.515160 SUCCESS  34
001001111 2428 2388 2423 2494 2462 2524 2374 2415  7.889886 0.444300 SUCCESS  35
001010011 2416 2470 2402 2468 2480 2458 2441 2528  5.503754 0.702624 SUCCESS  36
001010101 2470 2456 2615 2416 2450 2377 2548 2428 20.158914 0.009751 FAILURE  37
001010111 2366 2435 2375 2497 2512 2403 2384 2487 10.616303 0.224402 SUCCESS  38
001011011 2437 2455 2461 2450 2442 2466 2400 2478  1.831328 0.985753 SUCCESS  39
001011101 2444 2511 2438 2501 2379 2475 2388 2389  8.064318 0.427213 SUCCESS  40
001011111 2508 2474 2492 2423 2466 2464 2433 2399  4.822974 0.776319 SUCCESS  41
001100101 2490 2445 2419 2508 2356 2420 2422 2402  7.198435 0.515382 SUCCESS  42
001100111 2427 2399 2505 2485 2403 2419 2507 2368  8.311475 0.403651 SUCCESS  43
001101011 2483 2513 2443 2490 2443 2403 2466 2471  5.161735 0.740158 SUCCESS  44
001101101 2409 2519 2504 2374 2390 2511 2393 2397 11.579855 0.170957 SUCCESS  45
