		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2337 2315 2339 2313 2335 2320 2333 2319 45.172496 0.000000 FAILURE   0
000000011 2588 2576 2595 2571 2597 2577 2589 2578 69.084530 0.000000 FAILURE   1
000000101 2309 2314 2299 2321 2291 2323 2293 2320 60.124197 0.000000 FAILURE   2
000000111 2483 2488 2490 2493 2486 2494 2481 2497  7.773961 0.455856 SUCCESS   3
000001001 2537 2496 2536 2503 2529 2512 2527 2511 21.058584 0.006993 FAILURE   4
000001011 2229 2215 2229 2213 2228 2223 2223 2221 162.320016 0.000000 FAILURE   5
000001101 2644 2632 2656 2623 2664 2624 2657 2627 135.684041 0.000000 FAILURE   6
000001111 2516 2516 2517 2517 2527 2512 2522 2516 19.889369 0.010763 SUCCESS   7
000010001 2607 2597 2614 2598 2608 2596 2601 2611 89.760847 0.000000 FAILURE   8
000010011 2182 2152 2178 2153 2168 2170 2165 2164 256.448578 0.000000 FAILURE   9
000010101 2320 2336 2317 2343 2311 2341 2319 2335 44.220265 0.000001 FAILURE  10
000010111 2427 2415 2426 2420 2420 2425 2417 2424  1.364858 0.994731 SUCCESS  11
000011001 2352 2374 2355 2375 2353 2377 2356 2375 20.362102 0.009050 FAILURE  12
000011011 2655 2662 2660 2657 2675 2647 2678 2637 160.853889 0.000000 FAILURE  13
000011101 2404 2394 2407 2402 2402 2410 2393 2409  5.213674 0.734513 SUCCESS  14
000011111 2425 2444 2421 2440 2434 2429 2439 2427  0.472019 0.999893 SUCCESS  15
000100011 2641 2638 2647 2645 2641 2639 2640 2650 137.305441 0.000000 FAILURE  16
000100101 2415 2403 2425 2399 2425 2406 2417 2407  3.192200 0.921723 SUCCESS  17
000100111 2278 2240 2277 2240 2272 2260 2267 2256 110.668049 0.000000 FAILURE  18
000101001 2522 2521 2513 2523 2515 2516 2517 2522 20.261058 0.009392 FAILURE  19
000101011 2251 2249 2248 2257 2252 2250 2256 2244 123.072955 0.000000 FAILURE  20
000101101 2411 2418 2407 2420 2404 2424 2405 2418  2.831315 0.944493 SUCCESS  21
000101111 2482 2477 2478 2476 2480 2476 2485 2473  4.679245 0.791244 SUCCESS  22
000110011 2297 2279 2298 2279 2290 2290 2287 2296 78.363197 0.000000 FAILURE  23
000110101 2668 2674 2674 2668 2675 2664 2674 2664 177.392872 0.000000 FAILURE  24
000110111 2612 2631 2616 2632 2624 2623 2618 2621 110.855959 0.000000 FAILURE  25
000111001 2508 2524 2505 2526 2515 2519 2515 2514 18.894718 0.015433 SUCCESS  26
000111011 2524 2546 2527 2544 2525 2554 2517 2552 31.032634 0.000139 FAILURE  27
000111101 2211 2214 2207 2217 2210 2207 2215 2218 177.818631 0.000000 FAILURE  28
000111111 2410 2406 2400 2406 2402 2410 2392 2417  4.564961 0.802899 SUCCESS  29
001000011 2527 2528 2527 2524 2529 2524 2532 2519 24.452542 0.001924 FAILURE  30
001000101 2579 2553 2574 2560 2570 2559 2570 2566 53.164552 0.000000 FAILURE  31
001000111 2514 2525 2511 2523 2508 2526 2505 2529 19.948497 0.010533 SUCCESS  32
001001011 2415 2446 2424 2436 2430 2434 2431 2430  0.623334 0.999693 SUCCESS  33
001001101 2406 2382 2408 2383 2394 2395 2400 2382  8.025328 0.431000 SUCCESS  34
001001111 2441 2438 2441 2447 2438 2451 2438 2445  0.072713 1.000000 SUCCESS  35
001010011 2653 2635 2649 2628 2651 2637 2638 2650 137.505412 0.000000 FAILURE  36
001010101 2365 2345 2372 2349 2355 2350 2359 2356 24.730772 0.001726 FAILURE  37
001010111 2305 2295 2297 2301 2302 2299 2299 2298 68.266151 0.000000 FAILURE  38
001011011 2353 2361 2349 2362 2342 2368 2352 2361 24.925381 0.001600 FAILURE  39
001011101 2509 2527 2506 2533 2498 2536 2501 2535 20.733499 0.007890 FAILURE  40
001011111 2436 2445 2440 2438 2443 2435 2454 2423  0.252573 0.999990 SUCCESS  41
001100101 2342 2366 2343 2366 2346 2361 2359 2350 26.110258 0.001006 FAILURE  42
001100111 2343 2310 2343 2315 2331 2327 2322 2337 43.647175 0.000001 FAILURE  43
001101011 2675 2668 2680 2662 2679 2660 2679 2655 177.035019 0.000000 FAILURE  44
001101101 2446 2434 2448 2441 2443 2441 2446 2434  0.084019 1.000000 SUCCESS  45
001101111 2427 2423 2419 2425 2427 2415 2429 2411  1.396394 0.994298 SUCCESS  46
001110101 2537 2538 2530 2548 2521 2552 2525 2549 31.704742 0.000105 FAILURE  47
001110111 2568 2564 2570 2556 2568 2571 2558 2570 52.409868 0.000000 FAILURE  48
001111011 2403 2406 2398 2412 2394 2403 2404 2403  5.111332 0.745613 SUCCESS  49
001111101 2426 2441 2427 2435 2429 2439 2431 2438  0.323537 0.999975 SUCCESS  50
001111111 2458 2445 2455 2442 2456 2455 2451 2450  0.440442 0.999918 SUCCESS  51
010000011 2324 2323 2330 2318 2343 2313 2336 2324 45.113183 0.000000 FAILURE  52
010000111 2515 2521 2512 2519 2515 2518 2517 2520 19.466841 0.012553 SUCCESS  53
010001011 2735 2719 2737 2722 2731 2721 2735 2723 278.334544 0.000000 FAILURE  54
010001111 2353 2367 2342 2366 2347 2361 2344 2371 24.878208 0.001630 FAILURE  55
010010011 2615 2615 2603 2623 2601 2627 2608 2617 100.791800 0.000000 FAILURE  56
010010111 2374 2377 2372 2375 2378 2375 2376 2372 15.009466 0.058962 SUCCESS  57
010011011 2350 2359 2352 2361 2351 2356 2360 2349 25.511656 0.001273 FAILURE  58
010011111 2596 2590 2599 2592 2592 2602 2592 2599 80.291332 0.000000 FAILURE  59
010100011 2456 2465 2458 2463 2456 2464 2457 2464  1.268089 0.995923 SUCCESS  60
010100111 2658 2631 2655 2630 2649 2639 2638 2648 138.779604 0.000000 FAILURE  61
010101011 2355 2357 2359 2358 2351 2352 2359 2354 24.959843 0.001579 FAILURE  62
010101111 2264 2258 2263 2259 2269 2252 2267 2254 110.705808 0.000000 FAILURE  63
010110011 2466 2457 2459 2460 2464 2458 2470 2452  1.365811 0.994718 SUCCESS  64
010110111 2261 2265 2251 2272 2248 2269 2258 2256 111.727985 0.000000 FAILURE  65
010111011 2372 2385 2365 2383 2364 2385 2366 2386 14.896572 0.061188 SUCCESS  66
010111111 2427 2436 2428 2433 2433 2427 2439 2421  0.501980 0.999865 SUCCESS  67
011000111 2165 2181 2173 2168 2181 2167 2186 2168 243.198165 0.000000 FAILURE  68
011001111 2554 2538 2556 2536 2553 2545 2545 2546 37.693687 0.000009 FAILURE  69
011010111 2536 2541 2536 2536 2538 2534 2542 2531 30.858547 0.000149 FAILURE  70
011011111 2452 2449 2451 2458 2447 2452 2453 2447  0.359668 0.999962 SUCCESS  71
011101111 2480 2503 2479 2494 2476 2500 2478 2495  7.759754 0.457283 SUCCESS  72
011111111 2318 2339 2312 2336 2315 2337 2321 2335 45.011688 0.000000 FAILURE  73
100000000 2337 2315 2339 2313 2335 2320 2333 2319 45.172496 0.000000 FAILURE  74
