		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2403 2487 2577 2419 2405 2462 2442 2410 10.667964 0.221232 SUCCESS   0
000000011 2462 2394 2495 2376 2447 2521 2402 2436  7.528697 0.480806 SUCCESS   1
000000101 2519 2516 2453 2398 2459 2417 2439 2439  6.153222 0.630073 SUCCESS   2
000000111 2434 2416 2477 2410 2398 2432 2416 2495  3.576717 0.893155 SUCCESS   3
000001001 2381 2485 2532 2418 2404 2364 2480 2491 10.864996 0.209467 SUCCESS   4
000001011 2461 2416 2487 2436 2395 2425 2415 2336  7.356079 0.498746 SUCCESS   5
000001101 2506 2457 2395 2408 2402 2458 2425 2408  4.616330 0.797685 SUCCESS   6
000001111 2402 2450 2458 2445 2411 2395 2404 2416  2.979678 0.935626 SUCCESS   7
000010001 2464 2441 2473 2395 2419 2423 2481 2367  4.916657 0.766446 SUCCESS   8
000010011 2369 2414 2457 2409 2504 2418 2522 2513  9.903761 0.271846 SUCCESS   9
000010101 2506 2388 2403 2450 2448 2465 2421 2485  4.868584 0.771525 SUCCESS  10
000010111 2443 2455 2459 2469 2443 2476 2502 2393  3.590884 0.892023 SUCCESS  11
000011001 2443 2377 2504 2456 2406 2534 2472 2375  9.937430 0.269445 SUCCESS  12
000011011 2504 2461 2471 2436 2451 2386 2442 2531  6.948525 0.542197 SUCCESS  13
000011101 2407 2407 2412 2423 2436 2474 2420 2502  3.724432 0.881091 SUCCESS  14
000011111 2431 2482 2443 2467 2408 2469 2510 2524  6.704228 0.568854 SUCCESS  15
000100011 2520 2439 2467 2438 2501 2384 2457 2402  6.564603 0.584251 SUCCESS  16
000100101 2452 2442 2442 2430 2407 2400 2518 2432  3.853729 0.870073 SUCCESS  17
000100111 2442 2372 2359 2410 2447 2420 2585 2512 16.390568 0.037119 SUCCESS  18
000101001 2375 2478 2449 2480 2401 2430 2465 2430  4.128570 0.845341 SUCCESS  19
000101011 2517 2444 2463 2395 2412 2418 2394 2426  5.184124 0.737728 SUCCESS  20
000101101 2456 2425 2588 2444 2472 2398 2487 2423 11.532775 0.173299 SUCCESS  21
000101111 2425 2411 2433 2510 2419 2470 2503 2399  5.457852 0.707705 SUCCESS  22
000110011 2465 2419 2439 2378 2455 2494 2356 2425  6.607512 0.579509 SUCCESS  23
000110101 2456 2487 2315 2407 2445 2393 2362 2369 14.128834 0.078469 SUCCESS  24
000110111 2519 2514 2522 2416 2488 2384 2519 2414 12.997034 0.111952 SUCCESS  25
000111001 2435 2401 2534 2395 2465 2366 2379 2469  9.870106 0.274261 SUCCESS  26
000111011 2466 2457 2470 2507 2344 2420 2371 2410  9.259271 0.320899 SUCCESS  27
000111101 2484 2415 2450 2409 2451 2384 2449 2438  3.004105 0.934100 SUCCESS  28
000111111 2431 2465 2496 2452 2377 2543 2524 2446 10.623995 0.223927 SUCCESS  29
001000011 2509 2434 2332 2539 2400 2414 2420 2468 12.603500 0.126240 SUCCESS  30
001000101 2489 2467 2439 2451 2480 2428 2489 2396  3.820419 0.872951 SUCCESS  31
001000111 2478 2422 2510 2471 2466 2441 2399 2474  4.561333 0.803266 SUCCESS  32
001001011 2421 2347 2449 2428 2417 2400 2458 2463  5.343925 0.720264 SUCCESS  33
001001101 2369 2412 2380 2504 2416 2407 2415 2460  7.059618 0.530214 SUCCESS  34
001001111 2385 2392 2410 2439 2379 2468 2527 2569 14.753862 0.064112 SUCCESS  35
001010011 2426 2418 2433 2398 2466 2450 2447 2449  1.485483 0.992946 SUCCESS  36
001010101 2446 2419 2474 2471 2413 2395 2373 2488  5.198608 0.736153 SUCCESS  37
001010111 2402 2502 2442 2430 2467 2436 2467 2516  5.195232 0.736520 SUCCESS  38
001011011 2415 2359 2457 2421 2452 2394 2409 2358  7.840251 0.449229 SUCCESS  39
001011101 2446 2475 2392 2406 2374 2504 2431 2395  6.594061 0.580994 SUCCESS  40
001011111 2354 2290 2485 2564 2411 2454 2504 2458 22.356687 0.004296 FAILURE  41
001100101 2387 2476 2443 2431 2438 2521 2394 2435  5.466392 0.706761 SUCCESS  42
001100111 2411 2390 2446 2415 2491 2449 2404 2454  3.541156 0.895972 SUCCESS  43
001101011 2373 2425 2250 2426 2425 2433 2358 2436 20.817002 0.007650 FAILURE  44
001101101 2491 2499 2498 2448 2450 2467 2394 2429  5.150773 0.741346 SUCCESS  45
001101111 2490 2408 2333 2400 2462 2392 2468 2435  8.707458 0.367572 SUCCESS  46
001110101 2434 2401 2467 2371 2462 2475 2499 2385  6.503198 0.591053 SUCCESS  47
001110111 2506 2445 2384 2586 2356 2415 2489 2424 16.501860 0.035735 SUCCESS  48
001111011 2477 2363 2479 2408 2433 2320 2466 2450 10.773153 0.214887 SUCCESS  49
001111101 2388 2417 2434 2465 2380 2408 2458 2513  6.077505 0.638550 SUCCESS  50
001111111 2347 2508 2491 2469 2378 2555 2494 2454 15.430790 0.051291 SUCCESS  51
010000011 2413 2409 2414 2462 2366 2456 2421 2420  4.152229 0.843134 SUCCESS  52
010000111 2485 2438 2343 2490 2430 2379 2496 2384 10.276072 0.246181 SUCCESS  53
010001011 2454 2438 2431 2502 2475 2458 2419 2357  5.499424 0.703104 SUCCESS  54
010001111 2451 2431 2519 2386 2503 2548 2403 2446 10.993314 0.202078 SUCCESS  55
010010011 2394 2468 2418 2448 2415 2450 2378 2487  4.412030 0.818168 SUCCESS  56
010010111 2406 2450 2404 2463 2370 2372 2461 2487  6.595676 0.580816 SUCCESS  57
010011011 2452 2463 2399 2429 2399 2397 2417 2478  3.487906 0.900126 SUCCESS  58
010011111 2327 2456 2477 2431 2379 2481 2534 2520 14.782619 0.063513 SUCCESS  59
010100011 2478 2326 2543 2458 2519 2465 2446 2475 13.975520 0.082406 SUCCESS  60
010100111 2477 2415 2459 2398 2436 2492 2493 2452  4.034913 0.853960 SUCCESS  61
010101011 2457 2454 2458 2423 2396 2449 2422 2507  3.311184 0.913340 SUCCESS  62
010101111 2490 2496 2546 2357 2461 2501 2444 2514 13.822854 0.086501 SUCCESS  63
010110011 2402 2511 2436 2451 2495 2422 2324 2446  9.985940 0.266014 SUCCESS  64
010110111 2497 2466 2455 2370 2469 2415 2438 2446  4.436364 0.815765 SUCCESS  65
010111011 2369 2499 2361 2452 2437 2494 2462 2448  7.791199 0.454128 SUCCESS  66
010111111 2413 2349 2490 2542 2484 2512 2443 2487 13.011333 0.111460 SUCCESS  67
011000111 2590 2434 2462 2508 2465 2373 2477 2448 14.212892 0.076382 SUCCESS  68
