		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2394 2368 2411 2461 2372 2435 2397 2410  7.097258 0.526177 SUCCESS   0
000000011 2455 2425 2385 2419 2381 2488 2392 2452  5.298620 0.725234 SUCCESS   1
000000101 2380 2471 2473 2420 2396 2385 2409 2487  6.131231 0.632535 SUCCESS   2
000000111 2448 2421 2405 2454 2463 2395 2476 2429  2.505197 0.961488 SUCCESS   3
000001001 2504 2455 2462 2415 2447 2341 2353 2402 10.464842 0.233903 SUCCESS   4
000001011 2407 2546 2417 2439 2407 2430 2404 2477  7.077359 0.528310 SUCCESS   5
000001101 2445 2268 2411 2368 2437 2506 2415 2516 19.846168 0.010934 SUCCESS   6
000001111 2425 2440 2527 2456 2417 2509 2451 2443  5.538958 0.698720 SUCCESS   7
000010001 2422 2416 2472 2431 2521 2399 2467 2318 11.049781 0.198894 SUCCESS   8
000010011 2492 2456 2446 2462 2471 2463 2355 2392  6.129272 0.632754 SUCCESS   9
000010101 2407 2507 2505 2521 2431 2495 2408 2442  8.459931 0.389879 SUCCESS  10
000010111 2426 2458 2479 2461 2487 2401 2460 2425  2.812435 0.945571 SUCCESS  11
000011001 2520 2496 2427 2414 2397 2471 2393 2520  9.103454 0.333644 SUCCESS  12
000011011 2402 2322 2447 2447 2473 2387 2477 2541 13.140551 0.107104 SUCCESS  13
000011101 2383 2440 2370 2496 2434 2398 2385 2491  8.078723 0.425818 SUCCESS  14
000011111 2400 2402 2443 2438 2373 2413 2440 2463  3.910911 0.865071 SUCCESS  15
000100011 2452 2422 2492 2410 2460 2394 2419 2252 18.216652 0.019660 SUCCESS  16
000100101 2438 2419 2472 2345 2488 2356 2405 2484  9.890403 0.272803 SUCCESS  17
000100111 2461 2500 2490 2480 2491 2444 2398 2414  5.411937 0.712776 SUCCESS  18
000101001 2523 2463 2335 2455 2395 2497 2456 2510 12.200090 0.142497 SUCCESS  19
000101011 2481 2444 2483 2539 2479 2434 2485 2441  6.865804 0.551178 SUCCESS  20
000101101 2488 2482 2443 2428 2376 2409 2409 2430  4.451656 0.814250 SUCCESS  21
000101111 2433 2436 2552 2413 2446 2440 2464 2455  5.871815 0.661588 SUCCESS  22
000110011 2472 2500 2452 2418 2427 2415 2399 2427  3.363613 0.909513 SUCCESS  23
000110101 2444 2412 2421 2468 2407 2539 2447 2470  5.742689 0.676029 SUCCESS  24
000110111 2438 2400 2457 2429 2445 2443 2502 2489  3.422225 0.905141 SUCCESS  25
000111001 2518 2428 2399 2447 2392 2455 2455 2401  5.218732 0.733962 SUCCESS  26
000111011 2424 2401 2429 2485 2457 2386 2414 2417  3.663053 0.886173 SUCCESS  27
000111101 2483 2389 2478 2508 2478 2524 2484 2313 15.555970 0.049195 SUCCESS  28
000111111 2438 2449 2496 2350 2393 2458 2406 2442  6.471184 0.594606 SUCCESS  29
001000011 2351 2496 2440 2420 2426 2380 2425 2359  9.606519 0.293736 SUCCESS  30
001000101 2468 2471 2484 2424 2349 2400 2482 2452  6.657360 0.574011 SUCCESS  31
001000111 2479 2441 2505 2449 2423 2432 2442 2396  3.391773 0.907425 SUCCESS  32
001001011 2432 2419 2471 2420 2475 2405 2416 2448  2.146311 0.976195 SUCCESS  33
001001101 2522 2343 2492 2441 2453 2406 2412 2382 10.387629 0.238866 SUCCESS  34
001001111 2460 2442 2463 2437 2444 2475 2484 2441  1.603594 0.990851 SUCCESS  35
001010011 2568 2409 2474 2475 2416 2461 2408 2442  9.073493 0.336134 SUCCESS  36
001010101 2359 2499 2366 2465 2428 2474 2483 2431  8.231931 0.411149 SUCCESS  37
001010111 2422 2389 2385 2500 2392 2339 2494 2532 14.250811 0.075458 SUCCESS  38
001011011 2405 2525 2436 2366 2387 2414 2463 2494  8.884683 0.352117 SUCCESS  39
001011101 2473 2474 2381 2459 2428 2387 2438 2491  4.927196 0.765328 SUCCESS  40
001011111 2367 2450 2485 2469 2411 2478 2423 2469  4.929989 0.765032 SUCCESS  41
001100101 2425 2514 2405 2493 2380 2459 2378 2483  8.201004 0.414086 SUCCESS  42
001100111 2416 2503 2466 2431 2537 2463 2487 2398  7.933193 0.440023 SUCCESS  43
