		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2479 2488 2382 2453 2379 2464 2385 2455  6.362553 0.606690 SUCCESS   0
000000011 2348 2491 2458 2455 2408 2514 2416 2432  7.949650 0.438404 SUCCESS   1
000000101 2469 2450 2273 2545 2441 2418 2422 2482 18.005467 0.021186 SUCCESS   2
000000111 2415 2456 2417 2454 2493 2522 2410 2359  7.879692 0.445310 SUCCESS   3
000001001 2507 2447 2404 2470 2459 2403 2403 2427  4.244072 0.834458 SUCCESS   4
000001011 2452 2454 2325 2479 2359 2461 2393 2377 12.241159 0.140764 SUCCESS   5
000001101 2377 2459 2493 2527 2397 2414 2358 2507 12.044048 0.149249 SUCCESS   6
000001111 2397 2492 2467 2464 2496 2458 2340 2452  8.197760 0.414395 SUCCESS   7
000010001 2380 2425 2461 2419 2463 2303 2462 2461 10.740610 0.216834 SUCCESS   8
000010011 2511 2436 2376 2487 2468 2404 2396 2495  7.740848 0.459186 SUCCESS   9
000010101 2447 2434 2382 2397 2393 2464 2512 2436  5.698932 0.680914 SUCCESS  10
000010111 2443 2400 2423 2460 2464 2510 2488 2364  6.685666 0.570895 SUCCESS  11
000011001 2365 2462 2502 2474 2450 2416 2399 2484  6.494168 0.592055 SUCCESS  12
000011011 2356 2459 2393 2438 2394 2347 2416 2394 10.168355 0.253408 SUCCESS  13
000011101 2418 2402 2395 2437 2504 2446 2441 2412  3.844885 0.870840 SUCCESS  14
000011111 2391 2458 2533 2400 2466 2545 2374 2470 12.549470 0.128320 SUCCESS  15
000100011 2464 2418 2511 2439 2437 2377 2557 2520 12.548967 0.128339 SUCCESS  16
000100101 2486 2460 2432 2445 2456 2430 2400 2347  5.678609 0.683181 SUCCESS  17
000100111 2412 2386 2429 2468 2535 2364 2453 2446  8.346904 0.400338 SUCCESS  18
000101001 2456 2377 2413 2443 2289 2438 2454 2400 12.826429 0.117963 SUCCESS  19
000101011 2509 2396 2367 2362 2379 2438 2479 2495 11.295256 0.185524 SUCCESS  20
000101101 2469 2459 2452 2382 2418 2374 2403 2403  5.401107 0.713970 SUCCESS  21
000101111 2436 2441 2475 2405 2363 2415 2479 2468  4.849784 0.773504 SUCCESS  22
000110011 2455 2396 2418 2407 2435 2351 2477 2439  5.702732 0.680490 SUCCESS  23
000110101 2445 2441 2509 2489 2430 2404 2380 2356  8.235678 0.410794 SUCCESS  24
000110111 2450 2383 2401 2515 2449 2365 2318 2482 14.108591 0.078979 SUCCESS  25
000111001 2478 2516 2387 2465 2427 2527 2451 2397  8.482438 0.387816 SUCCESS  26
000111011 2359 2390 2503 2441 2483 2384 2463 2352 11.315195 0.184471 SUCCESS  27
000111101 2414 2430 2397 2515 2461 2427 2379 2433  5.432882 0.710464 SUCCESS  28
000111111 2389 2395 2472 2471 2458 2510 2404 2431  5.592261 0.692798 SUCCESS  29
001000011 2444 2325 2383 2461 2395 2442 2374 2357 13.202870 0.105058 SUCCESS  30
001000101 2504 2472 2484 2487 2433 2353 2462 2479  7.827316 0.450518 SUCCESS  31
001000111 2415 2483 2469 2452 2423 2393 2420 2488  3.648833 0.887337 SUCCESS  32
001001011 2396 2476 2501 2482 2469 2447 2391 2394  5.948008 0.653056 SUCCESS  33
001001101 2488 2385 2502 2472 2472 2433 2397 2425  5.596338 0.692345 SUCCESS  34
001001111 2467 2470 2490 2421 2481 2431 2515 2463  5.005693 0.756967 SUCCESS  35
001010011 2526 2409 2472 2405 2386 2451 2477 2414  6.629477 0.577085 SUCCESS  36
001010101 2452 2516 2470 2405 2454 2474 2408 2418  4.535913 0.805829 SUCCESS  37
001010111 2475 2401 2420 2403 2385 2449 2473 2493  4.911520 0.766990 SUCCESS  38
001011011 2460 2448 2441 2455 2444 2402 2448 2455  1.000994 0.998242 SUCCESS  39
001011101 2393 2433 2479 2447 2438 2393 2463 2332  7.899022 0.443396 SUCCESS  40
001011111 2389 2464 2480 2374 2438 2454 2493 2503  6.743880 0.564501 SUCCESS  41
001100101 2380 2469 2442 2457 2534 2499 2458 2474  7.630112 0.470409 SUCCESS  42
001100111 2476 2415 2345 2496 2410 2377 2508 2393 11.048219 0.198982 SUCCESS  43
001101011 2404 2488 2442 2533 2464 2370 2445 2409  7.894242 0.443869 SUCCESS  44
001101101 2441 2432 2502 2441 2477 2436 2497 2421  3.629663 0.888897 SUCCESS  45
