		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2507 2477 2393 2507 2460 2394 2456 2447  6.378706 0.604891 SUCCESS   0
000000011 2470 2472 2473 2466 2410 2368 2436 2469  4.458289 0.813592 SUCCESS   1
000000101 2509 2349 2436 2399 2381 2426 2391 2438  9.052786 0.337863 SUCCESS   2
000000111 2470 2421 2450 2491 2412 2361 2440 2423  4.845097 0.773997 SUCCESS   3
000001001 2480 2513 2398 2444 2480 2445 2473 2445  4.670520 0.792141 SUCCESS   4
000001011 2507 2368 2414 2499 2457 2408 2457 2421  6.684567 0.571016 SUCCESS   5
000001101 2383 2476 2474 2484 2495 2419 2510 2473  7.019277 0.534554 SUCCESS   6
000001111 2403 2475 2463 2398 2476 2385 2467 2335  9.026506 0.340065 SUCCESS   7
000010001 2512 2391 2400 2409 2430 2400 2384 2408  7.006938 0.535884 SUCCESS   8
000010011 2443 2394 2417 2382 2400 2490 2441 2449  4.450504 0.814364 SUCCESS   9
000010101 2399 2380 2452 2432 2427 2461 2445 2421  2.875403 0.941932 SUCCESS  10
000010111 2474 2370 2462 2447 2448 2428 2476 2407  3.906092 0.865495 SUCCESS  11
000011001 2448 2388 2441 2405 2542 2482 2511 2422  8.986615 0.343426 SUCCESS  12
000011011 2343 2500 2446 2467 2473 2431 2461 2488  7.395930 0.494578 SUCCESS  13
000011101 2473 2497 2404 2565 2433 2396 2420 2426  9.996015 0.265306 SUCCESS  14
000011111 2487 2477 2437 2431 2514 2417 2433 2448  4.006448 0.856541 SUCCESS  15
000100011 2509 2495 2435 2420 2398 2390 2409 2359  8.602349 0.376943 SUCCESS  16
000100101 2438 2418 2394 2559 2433 2450 2472 2519 10.058334 0.260956 SUCCESS  17
000100111 2465 2368 2452 2463 2382 2536 2456 2503  9.748765 0.283104 SUCCESS  18
000101001 2502 2392 2421 2433 2419 2405 2444 2322  9.611166 0.293384 SUCCESS  19
000101011 2483 2355 2492 2440 2460 2527 2422 2425  8.506322 0.385635 SUCCESS  20
000101101 2353 2409 2404 2482 2442 2386 2348 2452 10.088401 0.258876 SUCCESS  21
000101111 2408 2396 2439 2480 2463 2407 2513 2438  4.855530 0.772900 SUCCESS  22
000110011 2420 2463 2393 2405 2456 2427 2463 2381  3.865950 0.869011 SUCCESS  23
000110101 2470 2405 2434 2361 2491 2454 2509 2389  7.878487 0.445429 SUCCESS  24
000110111 2466 2469 2433 2445 2479 2488 2417 2431  2.432313 0.964813 SUCCESS  25
