		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2408 2393 2423 2418 2447 2430 2447 2383  3.365639 0.909364 SUCCESS   0
000000011 2498 2428 2417 2395 2436 2368 2420 2406  5.616224 0.690132 SUCCESS   1
000000101 2428 2400 2397 2466 2441 2417 2446 2464  2.370895 0.967480 SUCCESS   2
000000111 2434 2487 2422 2423 2466 2403 2443 2389  3.252016 0.917561 SUCCESS   3
000001001 2372 2450 2469 2478 2447 2570 2420 2308 17.715282 0.023465 SUCCESS   4
000001011 2431 2432 2337 2476 2450 2462 2474 2474  6.319829 0.611454 SUCCESS   5
000001101 2460 2412 2504 2371 2366 2425 2509 2433  8.760893 0.362867 SUCCESS   6
000001111 2436 2404 2439 2395 2482 2385 2406 2312 11.188360 0.191253 SUCCESS   7
000010001 2454 2386 2405 2505 2432 2378 2454 2467  5.727529 0.677722 SUCCESS   8
000010011 2442 2457 2448 2442 2503 2458 2426 2394  2.898903 0.940541 SUCCESS   9
000010101 2428 2415 2428 2429 2472 2407 2435 2482  2.126055 0.976901 SUCCESS  10
000010111 2362 2505 2337 2402 2456 2523 2458 2491 13.730428 0.089068 SUCCESS  11
000011001 2521 2461 2429 2538 2385 2455 2476 2536 12.592631 0.126656 SUCCESS  12
000011011 2445 2446 2545 2437 2311 2402 2401 2367 15.466881 0.050678 SUCCESS  13
000011101 2339 2519 2407 2429 2413 2444 2515 2447 10.212893 0.250401 SUCCESS  14
000011111 2448 2436 2409 2414 2470 2383 2408 2399  3.818088 0.873152 SUCCESS  15
000100011 2440 2540 2408 2546 2502 2395 2460 2503 13.452026 0.097214 SUCCESS  16
000100101 2403 2429 2426 2453 2474 2463 2411 2392  2.920073 0.939273 SUCCESS  17
000100111 2413 2454 2513 2375 2516 2446 2487 2336 12.403212 0.134100 SUCCESS  18
000101001 2468 2525 2433 2493 2424 2493 2393 2382  8.162953 0.417717 SUCCESS  19
000101011 2426 2427 2476 2407 2439 2437 2432 2425  1.358410 0.994817 SUCCESS  20
000101101 2408 2392 2423 2367 2405 2437 2438 2438  4.572679 0.802119 SUCCESS  21
000101111 2459 2439 2379 2454 2453 2433 2549 2410  7.260688 0.508785 SUCCESS  22
000110011 2489 2445 2418 2558 2423 2428 2438 2534 10.816248 0.212330 SUCCESS  23
000110101 2506 2411 2398 2392 2354 2461 2414 2499  9.113450 0.332816 SUCCESS  24
000110111 2495 2417 2565 2469 2389 2382 2425 2406 11.567634 0.171562 SUCCESS  25
000111001 2540 2510 2462 2465 2429 2430 2447 2426  6.763766 0.562322 SUCCESS  26
000111011 2403 2517 2313 2392 2440 2434 2489 2388 13.255683 0.103350 SUCCESS  27
000111101 2435 2427 2424 2461 2520 2446 2480 2355  6.816632 0.556540 SUCCESS  28
000111111 2407 2462 2498 2428 2411 2422 2411 2417  3.308616 0.913525 SUCCESS  29
001000011 2470 2527 2460 2536 2449 2429 2444 2468  7.783189 0.454931 SUCCESS  30
001000101 2442 2405 2371 2480 2427 2511 2487 2403  6.938304 0.543304 SUCCESS  31
001000111 2379 2485 2464 2505 2426 2394 2499 2484  7.612808 0.472176 SUCCESS  32
001001011 2419 2386 2422 2427 2488 2476 2466 2467  3.721598 0.881328 SUCCESS  33
001001101 2437 2367 2477 2473 2520 2448 2411 2382  7.835459 0.449706 SUCCESS  34
001001111 2424 2455 2466 2399 2463 2441 2420 2400  2.342072 0.968689 SUCCESS  35
001010011 2482 2467 2379 2570 2360 2479 2367 2340 19.739007 0.011370 SUCCESS  36
001010101 2399 2447 2433 2461 2389 2442 2471 2424  2.629980 0.955394 SUCCESS  37
001010111 2512 2392 2485 2381 2380 2418 2384 2443  8.721664 0.366317 SUCCESS  38
001011011 2373 2457 2499 2390 2391 2413 2455 2524  8.996796 0.342566 SUCCESS  39
001011101 2397 2448 2468 2391 2408 2391 2367 2522  8.874754 0.352972 SUCCESS  40
001011111 2427 2479 2436 2423 2423 2472 2482 2381  3.626644 0.889142 SUCCESS  41
001100101 2481 2364 2447 2467 2381 2456 2419 2451  5.380427 0.716249 SUCCESS  42
001100111 2428 2523 2445 2496 2411 2424 2434 2517  7.131178 0.522548 SUCCESS  43
001101011 2482 2387 2424 2376 2414 2501 2567 2400 13.125313 0.107610 SUCCESS  44
001101101 2430 2411 2349 2456 2436 2436 2430 2439  4.235136 0.835310 SUCCESS  45
001101111 2496 2500 2523 2413 2446 2403 2484 2415  7.579603 0.475574 SUCCESS  46
001110101 2418 2533 2454 2472 2503 2418 2483 2414  7.142922 0.521294 SUCCESS  47
001110111 2521 2456 2448 2356 2420 2475 2518 2442  9.042261 0.338743 SUCCESS  48
001111011 2505 2405 2458 2489 2521 2426 2516 2406  9.026877 0.340034 SUCCESS  49
001111101 2363 2470 2477 2484 2476 2415 2503 2396  7.540202 0.479621 SUCCESS  50
001111111 2420 2521 2467 2475 2459 2370 2407 2463  6.624896 0.577590 SUCCESS  51
010000011 2474 2484 2378 2462 2395 2404 2430 2367  7.005720 0.536016 SUCCESS  52
