		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2436 2471 2432 2446 2464 2395 2470 2428  1.981187 0.981583 SUCCESS   0
000000011 2479 2441 2468 2391 2460 2308 2440 2417  9.913003 0.271185 SUCCESS   1
000000101 2523 2370 2412 2492 2445 2432 2482 2483  7.907111 0.442596 SUCCESS   2
000000111 2467 2470 2503 2473 2502 2308 2397 2470 12.932345 0.114199 SUCCESS   3
000001001 2469 2405 2480 2476 2452 2491 2429 2401  3.869617 0.868691 SUCCESS   4
000001011 2573 2431 2527 2545 2469 2466 2428 2498 17.050350 0.029589 SUCCESS   5
000001101 2430 2510 2407 2412 2448 2400 2442 2445  3.666323 0.885905 SUCCESS   6
000001111 2475 2474 2569 2513 2407 2360 2423 2382 14.945969 0.060205 SUCCESS   7
000010001 2508 2477 2521 2415 2440 2419 2454 2465  5.913811 0.656886 SUCCESS   8
000010011 2472 2379 2438 2392 2388 2464 2487 2478  5.957885 0.651950 SUCCESS   9
000010101 2376 2362 2395 2474 2478 2473 2476 2491  8.385458 0.396751 SUCCESS  10
000010111 2452 2435 2436 2507 2497 2513 2448 2521  8.087249 0.424994 SUCCESS  11
000011001 2403 2349 2432 2393 2366 2377 2390 2461 10.716712 0.218273 SUCCESS  12
000011011 2373 2517 2375 2468 2423 2404 2482 2433  8.035112 0.430048 SUCCESS  13
000011101 2470 2429 2463 2461 2388 2423 2391 2485  4.005045 0.856668 SUCCESS  14
000011111 2424 2452 2552 2443 2367 2402 2521 2402 11.704598 0.164879 SUCCESS  15
000100011 2418 2434 2405 2410 2469 2488 2443 2438  2.482769 0.962530 SUCCESS  16
000100101 2408 2429 2391 2471 2427 2393 2363 2439  5.670334 0.684104 SUCCESS  17
000100111 2489 2427 2439 2416 2405 2380 2462 2468  3.961301 0.860598 SUCCESS  18
000101001 2491 2527 2310 2353 2449 2363 2460 2482 18.245170 0.019462 SUCCESS  19
