		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2475 2441 2425 2480 2333 2409 2384 2405  8.602442 0.376934 SUCCESS   0
000000011 2390 2443 2464 2458 2361 2434 2436 2382  5.721294 0.678418 SUCCESS   1
000000101 2464 2464 2432 2436 2445 2412 2401 2493  2.673923 0.953127 SUCCESS   2
000000111 2445 2438 2458 2418 2373 2461 2478 2371  5.170606 0.739196 SUCCESS   3
000001001 2463 2434 2475 2492 2423 2467 2460 2396  3.225444 0.919423 SUCCESS   4
000001011 2415 2418 2488 2441 2496 2442 2300 2485 11.986310 0.151816 SUCCESS   5
000001101 2454 2388 2391 2393 2425 2476 2449 2502  5.545075 0.698041 SUCCESS   6
000001111 2435 2522 2468 2470 2331 2447 2430 2449  8.672664 0.370657 SUCCESS   7
000010001 2453 2472 2534 2520 2501 2453 2502 2465 10.060651 0.260795 SUCCESS   8
000010011 2490 2306 2379 2525 2458 2468 2462 2440 13.975599 0.082404 SUCCESS   9
000010101 2527 2482 2453 2469 2395 2416 2464 2486  6.428341 0.599367 SUCCESS  10
000010111 2456 2493 2473 2461 2517 2376 2366 2508 10.326422 0.242859 SUCCESS  11
000011001 2389 2444 2499 2489 2422 2368 2442 2355  9.135521 0.330993 SUCCESS  12
000011011 2475 2399 2470 2360 2416 2407 2415 2481  6.127180 0.632988 SUCCESS  13
000011101 2553 2479 2458 2370 2391 2404 2536 2418 13.844991 0.085896 SUCCESS  14
000011111 2407 2422 2413 2402 2372 2465 2380 2464  5.748660 0.675362 SUCCESS  15
000100011 2437 2439 2499 2505 2443 2468 2449 2414  3.774358 0.876886 SUCCESS  16
000100101 2336 2428 2494 2423 2391 2422 2417 2421  7.760880 0.457170 SUCCESS  17
000100111 2485 2368 2411 2473 2448 2462 2433 2396  5.003443 0.757208 SUCCESS  18
000101001 2412 2453 2433 2537 2427 2458 2430 2314 11.460711 0.176936 SUCCESS  19
000101011 2519 2515 2486 2497 2466 2475 2465 2453  8.029061 0.430636 SUCCESS  20
000101101 2458 2389 2417 2403 2456 2465 2425 2410  3.014074 0.933471 SUCCESS  21
000101111 2471 2486 2473 2457 2447 2449 2400 2454  2.572110 0.958283 SUCCESS  22
000110011 2418 2453 2481 2482 2448 2390 2485 2366  6.003416 0.646849 SUCCESS  23
000110101 2530 2425 2496 2331 2492 2426 2512 2476 13.671830 0.090730 SUCCESS  24
000110111 2408 2427 2431 2422 2437 2450 2380 2510  4.395732 0.819772 SUCCESS  25
000111001 2438 2458 2410 2397 2387 2484 2480 2435  4.045465 0.852998 SUCCESS  26
000111011 2543 2437 2444 2407 2435 2371 2548 2394 12.769485 0.120031 SUCCESS  27
000111101 2441 2473 2496 2485 2398 2470 2532 2438  7.120176 0.523724 SUCCESS  28
000111111 2398 2469 2475 2424 2435 2431 2456 2438  1.885650 0.984319 SUCCESS  29
001000011 2489 2444 2479 2434 2434 2314 2446 2407  8.994241 0.342782 SUCCESS  30
001000101 2415 2425 2526 2507 2474 2419 2456 2476  6.526340 0.588487 SUCCESS  31
001000111 2410 2482 2540 2503 2447 2397 2500 2434  9.170566 0.328112 SUCCESS  32
001001011 2393 2431 2463 2326 2468 2460 2435 2535 11.053263 0.198699 SUCCESS  33
001001101 2470 2329 2545 2490 2446 2416 2398 2453 12.384372 0.134860 SUCCESS  34
001001111 2476 2424 2393 2401 2497 2442 2432 2407  4.167601 0.841694 SUCCESS  35
001010011 2398 2391 2485 2498 2438 2474 2352 2451  7.916750 0.441644 SUCCESS  36
001010101 2391 2551 2452 2420 2349 2410 2460 2322 16.626974 0.034236 SUCCESS  37
001010111 2470 2476 2418 2513 2454 2553 2439 2469  8.928771 0.348340 SUCCESS  38
001011011 2461 2446 2411 2412 2443 2464 2486 2438  1.994811 0.981171 SUCCESS  39
001011101 2403 2415 2349 2435 2483 2435 2458 2440  5.421735 0.711695 SUCCESS  40
001011111 2462 2514 2489 2477 2544 2410 2491 2475 10.310482 0.243907 SUCCESS  41
001100101 2436 2435 2380 2473 2473 2484 2442 2337  7.859171 0.447346 SUCCESS  42
001100111 2402 2390 2478 2459 2474 2441 2482 2362  6.295045 0.614220 SUCCESS  43
001101011 2441 2389 2497 2417 2466 2395 2468 2482  4.892137 0.769040 SUCCESS  44
001101101 2409 2345 2481 2372 2472 2405 2425 2448  8.175849 0.416484 SUCCESS  45
001101111 2430 2412 2493 2469 2412 2425 2456 2477  2.979770 0.935621 SUCCESS  46
001110101 2467 2438 2373 2452 2394 2471 2505 2429  5.414228 0.712523 SUCCESS  47
001110111 2469 2402 2391 2509 2464 2372 2494 2449  7.446387 0.489323 SUCCESS  48
001111011 2434 2506 2488 2454 2407 2434 2467 2436  3.593823 0.891787 SUCCESS  49
001111101 2450 2388 2349 2498 2445 2435 2432 2457  6.376627 0.605122 SUCCESS  50
001111111 2328 2484 2456 2417 2435 2429 2466 2440  6.898678 0.547603 SUCCESS  51
010000011 2551 2486 2400 2442 2427 2470 2442 2435  7.111067 0.524698 SUCCESS  52
010000111 2478 2416 2483 2413 2420 2394 2463 2420  3.452993 0.902807 SUCCESS  53
010001011 2438 2476 2455 2480 2466 2397 2465 2407  3.051026 0.931115 SUCCESS  54
010001111 2422 2452 2488 2467 2521 2409 2446 2480  5.175332 0.738683 SUCCESS  55
010010011 2370 2388 2466 2442 2478 2480 2502 2501  7.884816 0.444802 SUCCESS  56
010010111 2391 2448 2468 2416 2512 2501 2403 2518  8.395997 0.395774 SUCCESS  57
010011011 2460 2398 2506 2503 2500 2449 2374 2417  7.977016 0.435718 SUCCESS  58
010011111 2481 2421 2398 2408 2472 2415 2457 2427  2.993844 0.934743 SUCCESS  59
010100011 2417 2429 2430 2411 2512 2436 2440 2366  5.296766 0.725437 SUCCESS  60
010100111 2389 2404 2485 2458 2417 2519 2393 2452  6.521429 0.589032 SUCCESS  61
010101011 2364 2502 2474 2455 2324 2362 2500 2378 16.289258 0.038422 SUCCESS  62
010101111 2488 2516 2467 2500 2409 2517 2432 2348 11.610941 0.169425 SUCCESS  63
010110011 2334 2505 2337 2433 2403 2430 2383 2421 13.546980 0.094365 SUCCESS  64
010110111 2506 2397 2398 2424 2484 2399 2372 2410  7.517139 0.481998 SUCCESS  65
010111011 2416 2391 2440 2475 2492 2445 2488 2528  7.017357 0.534761 SUCCESS  66
010111111 2431 2436 2464 2441 2512 2472 2444 2432  2.824152 0.944903 SUCCESS  67
011000111 2449 2437 2494 2396 2483 2473 2379 2410  5.301638 0.724904 SUCCESS  68
011001111 2377 2438 2440 2449 2415 2397 2497 2373  6.208484 0.623891 SUCCESS  69
011010111 2452 2340 2510 2426 2452 2409 2420 2446  7.192703 0.515992 SUCCESS  70
011011111 2445 2453 2487 2464 2361 2491 2415 2388  6.443964 0.597630 SUCCESS  71
011101111 2533 2458 2413 2540 2476 2435 2475 2482  9.835578 0.276756 SUCCESS  72
011111111 2401 2530 2404 2372 2507 2429 2485 2406  9.875058 0.273905 SUCCESS  73
100000000 2475 2441 2425 2480 2333 2409 2384 2405  8.602442 0.376934 SUCCESS  74
100010000 2501 2456 2442 2402 2446 2367 2422 2467  5.044075 0.752855 SUCCESS  75
100100000 2481 2460 2462 2369 2386 2390 2437 2483  6.371993 0.605638 SUCCESS  76
100101000 2402 2412 2505 2505 2440 2501 2458 2375  7.942289 0.439128 SUCCESS  77
100110000 2474 2498 2426 2447 2468 2488 2495 2418  4.591665 0.800194 SUCCESS  78
100111000 2441 2322 2460 2462 2511 2438 2447 2474  8.887318 0.351891 SUCCESS  79
101000000 2415 2389 2432 2554 2415 2562 2416 2414 13.916749 0.083961 SUCCESS  80
101000100 2376 2327 2455 2416 2470 2356 2400 2481 12.533423 0.128943 SUCCESS  81
101001000 2454 2442 2497 2447 2496 2380 2479 2450  4.881837 0.770128 SUCCESS  82
101001100 2406 2459 2419 2428 2469 2461 2486 2451  2.318466 0.969659 SUCCESS  83
101010000 2499 2383 2466 2390 2394 2501 2436 2324 12.533635 0.128935 SUCCESS  84
101010100 2423 2410 2355 2445 2433 2429 2410 2363  6.844064 0.553547 SUCCESS  85
101011000 2434 2469 2379 2367 2360 2413 2490 2419  8.701328 0.368115 SUCCESS  86
101011100 2411 2409 2519 2359 2377 2533 2441 2431 11.621493 0.168908 SUCCESS  87
101100000 2421 2500 2444 2452 2431 2403 2512 2470  4.811244 0.777547 SUCCESS  88
101100100 2415 2420 2543 2353 2482 2425 2379 2480 11.266341 0.187060 SUCCESS  89
101101000 2415 2330 2432 2451 2540 2473 2443 2419 10.384822 0.239048 SUCCESS  90
101101100 2399 2465 2382 2495 2469 2440 2466 2462  4.469755 0.812451 SUCCESS  91
101110000 2371 2410 2497 2464 2487 2496 2425 2436  6.314295 0.612071 SUCCESS  92
101110100 2437 2378 2405 2363 2438 2417 2414 2437  5.458077 0.707680 SUCCESS  93
101111000 2477 2455 2474 2511 2348 2376 2412 2409  9.436245 0.306841 SUCCESS  94
101111100 2534 2511 2470 2486 2477 2455 2526 2428 10.600892 0.225354 SUCCESS  95
110000000 2431 2502 2449 2394 2432 2379 2439 2344  8.285512 0.406089 SUCCESS  96
110000010 2434 2460 2508 2540 2482 2451 2335 2437 11.710688 0.164587 SUCCESS  97
110000100 2473 2306 2473 2532 2454 2469 2477 2441 13.018628 0.111210 SUCCESS  98
110001000 2476 2473 2510 2378 2428 2387 2475 2464  6.651998 0.574602 SUCCESS  99
110001010 2420 2481 2380 2449 2408 2363 2478 2302 14.355192 0.072964 SUCCESS 100
110010000 2480 2508 2538 2357 2411 2367 2395 2440 13.131231 0.107413 SUCCESS 101
110010010 2380 2425 2436 2452 2497 2465 2447 2540  7.449829 0.488965 SUCCESS 102
110010100 2448 2413 2526 2434 2413 2521 2412 2456  6.898995 0.547569 SUCCESS 103
110011000 2527 2460 2421 2407 2452 2497 2444 2428  5.365678 0.717872 SUCCESS 104
110011010 2415 2466 2465 2479 2472 2481 2385 2454  3.863288 0.869243 SUCCESS 105
110100000 2459 2420 2385 2523 2407 2509 2413 2411  7.664562 0.466903 SUCCESS 106
110100010 2364 2417 2344 2389 2489 2437 2409 2427  9.471542 0.304090 SUCCESS 107
110100100 2421 2412 2463 2424 2433 2388 2438 2536  5.902689 0.658131 SUCCESS 108
110101000 2519 2436 2520 2392 2410 2436 2407 2354 10.382135 0.239222 SUCCESS 109
110101010 2396 2361 2377 2480 2408 2381 2450 2419  8.260330 0.408462 SUCCESS 110
110101100 2449 2498 2411 2360 2423 2461 2461 2437  5.057354 0.751429 SUCCESS 111
110110000 2464 2406 2431 2508 2421 2356 2485 2533 10.299281 0.244645 SUCCESS 112
110110010 2453 2437 2444 2472 2472 2476 2358 2446  4.324702 0.826704 SUCCESS 113
110110100 2370 2398 2476 2478 2580 2375 2476 2463 14.744661 0.064305 SUCCESS 114
110111000 2346 2375 2384 2467 2534 2466 2493 2429 12.479445 0.131060 SUCCESS 115
110111010 2441 2361 2417 2387 2370 2443 2417 2417  6.907919 0.546599 SUCCESS 116
110111100 2514 2437 2470 2428 2383 2342 2489 2391 10.330288 0.242605 SUCCESS 117
111000000 2436 2468 2498 2413 2494 2421 2483 2424  4.221870 0.836571 SUCCESS 118
111000010 2405 2398 2443 2471 2491 2536 2450 2462  6.777496 0.560819 SUCCESS 119
111000100 2458 2489 2584 2452 2474 2383 2415 2339 16.372893 0.037343 SUCCESS 120
111000110 2455 2343 2466 2488 2440 2447 2525 2485  9.138367 0.330758 SUCCESS 121
111001000 2490 2448 2464 2432 2461 2434 2417 2521  4.396659 0.819681 SUCCESS 122
111001010 2405 2423 2488 2343 2401 2499 2429 2381  9.433557 0.307051 SUCCESS 123
111001100 2541 2425 2468 2438 2467 2491 2525 2461  9.067416 0.336641 SUCCESS 124
111010000 2438 2407 2446 2459 2375 2430 2413 2437  2.918352 0.939376 SUCCESS 125
111010010 2423 2381 2471 2476 2481 2479 2460 2574 11.428288 0.178592 SUCCESS 126
111010100 2467 2436 2478 2504 2419 2432 2485 2412  3.940184 0.862480 SUCCESS 127
111010110 2426 2516 2424 2392 2500 2430 2461 2428  5.369531 0.717448 SUCCESS 128
111011000 2479 2475 2423 2414 2473 2446 2394 2484  3.691981 0.883790 SUCCESS 129
111011010 2423 2417 2477 2506 2477 2393 2405 2456  4.881877 0.770124 SUCCESS 130
111011100 2402 2474 2384 2449 2429 2449 2550 2488  8.535383 0.382991 SUCCESS 131
111100000 2532 2464 2528 2448 2437 2459 2427 2476  7.626167 0.470812 SUCCESS 132
111100010 2411 2532 2525 2420 2452 2451 2439 2367  9.458924 0.305071 SUCCESS 133
111100100 2439 2391 2464 2466 2444 2411 2385 2461  3.455668 0.902603 SUCCESS 134
111100110 2493 2441 2440 2451 2430 2528 2487 2441  5.282811 0.726965 SUCCESS 135
111101000 2460 2451 2417 2492 2344 2487 2348 2368 12.399889 0.134234 SUCCESS 136
111101010 2375 2449 2443 2452 2381 2384 2437 2441  4.889503 0.769318 SUCCESS 137
111101100 2470 2461 2473 2466 2470 2406 2440 2478  2.635620 0.955107 SUCCESS 138
111101110 2402 2478 2434 2414 2432 2495 2553 2483  8.832135 0.356654 SUCCESS 139
111110000 2525 2490 2510 2442 2518 2442 2393 2511 11.488793 0.175511 SUCCESS 140
111110010 2464 2423 2382 2436 2410 2398 2533 2400  7.363030 0.498018 SUCCESS 141
111110100 2488 2443 2398 2500 2486 2511 2387 2462  7.503727 0.483382 SUCCESS 142
111110110 2439 2476 2457 2443 2436 2390 2370 2442  3.904861 0.865604 SUCCESS 143
111111000 2417 2495 2480 2470 2473 2441 2445 2394  3.828362 0.872268 SUCCESS 144
111111010 2422 2480 2399 2498 2461 2372 2397 2422  6.106897 0.635259 SUCCESS 145
111111100 2435 2432 2415 2472 2436 2422 2485 2415  2.019079 0.980421 SUCCESS 146
111111110 2401 2530 2404 2372 2507 2429 2485 2406  9.875058 0.273905 SUCCESS 147

